カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
危险行为,高级,关于自行车在上学路和学校区域（School Zone）通行的规定，以下哪项说明最为恰当？,自行车完全不受任何规定限制。,根据当地交通管制规定，自行车也可能受到禁止在特定时段通行、减速慢行等特别限制。,在全国范围内，自行车一律禁止通行。,自行车与汽车一样，必须靠右侧通行。,2,根据通学路交通管制规定（由各都道府县公安委员会制定），自行车在某些情况下也会受到限制。,"《道路交通法施行规则》
《道路交通法》《交通管制标准》第4条"
取缔方针,高级,蓝色罚单制度实施后，关于自行车违法行为的基本处理方式，以下哪项是正确的？,所有违法行为都会立即开具蓝色罚单。,蓝色罚单制度实施后，教育指导和警告已被废除。,在人行道骑行一定会被开红色罚单。,违法行为原则上以教育指导或警告处理，但恶性、危险违法行为将成为查处对象。,4,根据警察厅FAQ，即使蓝色罚单制度实施后，自行车违法行为原则上仍以教育指导、警告处理，但恶性或危险违法行为将成为查处对象。,"警察厅 自行车门户网站
自行车门户网站 FAQ（指导警告与查处）"
开车时使用手机,高级,关于固定在手机支架上的手机的观看和操作行为，按照现行规定，以下哪项说法最为恰当？,只要固定在支架上，就始终属于合法。,对于固定在支架上的手机，没有任何法律限制。,虽然某些情况不属于“手持手机”，但如果因此造成危险，仍可能构成违反安全驾驶义务等违法行为。,即使手机固定在支架上，也始终构成《道路交通法》第71条第5项之5规定的“手持”违法。,3,根据警方公开说明，固定在支架上的手机一般不属于“手持”，但如果因此导致危险驾驶，则可能构成违反安全驾驶义务等违法行为，需根据具体情况判断。,"警察厅 自行车门户网站
《道路交通法》、基于媒体报道的警方解释
第71条第5号之5、第70条"
安全驾驶,高级,在视线不良的交叉路口或危险路段骑行自行车时，以下哪种通行方式最为恰当？,如果没有行人，就无需确认安全。,保持车速，一次性快速通过。,如果没有交通标志，就没有确认安全的义务。,应根据实际情况，以尽可能安全的速度和方式通行。,4,根据警察厅说明，在交叉路口或危险路段，应根据实际情况，以尽可能安全的速度和方式骑行。,"警察厅 自行车门户网站
自行车门户网站：交通规则——安全的速度与骑行方式"
基本规则,高级,作为轻型车辆的自行车，在右转时符合《道路交通法》第34条第3项规定的是以下哪项？,提前靠近道路右侧边缘后再右转。,提前靠近道路中央后再右转。,法律没有规定自行车右转的方法。,应提前靠近道路左侧边缘，并沿交叉路口边缘行驶，采用所谓的“两段式右转”。,4,根据《道路交通法》第34条第3款，轻型车辆右转时，应提前靠近道路左侧，并沿交叉路口边缘行驶，采取“两段式右转”。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第34条第1款、第3款"
并排行驶,高级,作为例外情况，在哪种情况下允许自行车并排行驶？,想和别人交谈时。,仅限儿童自行车。,设置有“允许并排行驶”标志时。,只要在人行道上，就始终可以。,3,设置有“允许并排行驶”标志时，自行车可例外并排行驶。,"警察厅 自行车门户网站
各都道府县公安委员会规则、警察厅交通规则解说——允许并排行驶标志"
载人限制,高级,关于自行车载两人的例外规定，以下哪项最为恰当？,只要距离较短，任何人都可以两人同乘。,让朋友坐在自行车后座。,只要车道空闲，就始终可以这样做。,例如将幼儿乘坐在儿童座椅上等，属于法律允许的情形。,4,自行车原则上禁止载人，但法律允许的情形（如使用儿童座椅搭载幼儿）除外。,"警察厅 自行车门户网站
警察厅：自行车安全使用——儿童座椅"
基本规则,高级,根据法律规定，电动助力自行车在达到时速多少公里以上时，必须停止电机助力？,时速10公里以上。,时速20公里以上。,时速24公里以上。,时速30公里以上。,3,根据第1条之3的规定，时速达到24公里以上时，电动助力不得继续提供辅助动力,"《道路交通法施行规则》
《道路交通法施行规则》第1条之3"
基本规则,高级,根据《道路交通法》，“普通汽车”应符合以下哪项条件？,只要是三轮及以上的自行车，就都属于普通汽车。,只要装有脚踏板，不论大小都属于普通汽车。,仅依靠电动机行驶的轻便摩托车。,车身尺寸和结构符合标准，且未牵引其他车辆的自行车。,4,普通自行车是指车身尺寸和结构符合内阁府令标准，且未牵引其他车辆的自行车。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第2条、第63条之3、《施行规则》第9条之2"
酒后驾驶,高级,关于自行车酒后驾驶，以下哪种行为最可能构成“帮助（教唆或协助）”行为？,建议佩戴头盔。,向准备酒后骑车的人出借自行车、提供酒精饮料或要求其驾驶。,引导使用公共交通工具。,劝说饮酒者不要骑车。,2,宣传资料指出，不仅酒后骑车本身违法，向酒后骑车者提供酒类、提供自行车或要求其骑车等帮助行为，也可能构成违法。,"警察厅 自行车门户网站
《道路交通法》及宣传资料——酒后驾驶的帮助行为"
蓝色罚单制度,高级,根据蓝色罚单制度，自行车违法者承认违法时，临时缴纳罚款的期限是哪一项？,原则上自查处次日起7日内。,在查处当天内。,自通知之日起30日内。,没有期限。,1,根据制度说明，承认违法事实的，应原则上在查处次日起7日内缴纳临时罚款。,"警察厅 自行车门户网站
自行车门户网站——临时缴纳罚款"
酒后驾驶,初级,自行车酒后驾驶，哪项说法是正确的？,自行车不是车辆，因此不属于适用对象。,骑自行车也禁止酒后驾驶。,仅禁止醉酒驾驶，不包括酒后驾驶。,只在夜间禁止。,2,即使是骑自行车，也禁止酒后驾驶，属于严重违法行为。,《道路交通法》第65条：即使是骑自行车，也禁止酒后驾驶。
特定小型电动自行车,高级,关于特定小型电动自行车，以下哪项说明是正确的？,只要有脚踏板，就自动属于特定小型电动自行车。,与普通轻便摩托车完全适用相同规则，也没有年龄限制。,属于自行车，归类为轻型车辆。,"符合一定条件时无需驾驶证，但其并非自行车，而是特定小型电动自行车。
",4,特定小型电动自行车并非自行车，而是一种轻便摩托车；符合一定条件时虽无需驾驶证，但法律上属于不同类别。,
开车时使用手机,初级,关于自行车“边骑车边做其他事情（分心驾驶）”，以下哪种行为最接近法律所禁止的行为？,在骑行过程中（不包括停车时）手持手机通话或注视手机屏幕。,携带已关机的手机。,将手机放在包里。,包括停车时在内，只要持有手机本身就属于违规。,1,根据相关制度规定，骑自行车时（不包括停车状态）手持手机通话或注视手机屏幕均属于禁止行为。,《道路交通法》第71条第5项之5：禁止骑车时（停车状态除外）手持手机通话或注视手机屏幕。
电动助力自行车,高级,关于获得型号认证的电动助力自行车，其标识中正确的是哪一项？,PSC认证标志。,PSE认证标志。,TS标志。,JIS认证标志。,3,根据警察厅的型号认证制度，符合标准的电动助力自行车会贴有TS标志。,"警察厅 自行车门户网站
警察厅 型式认证制度——电动助力自行车"
危险行为,高级,在隧道内或狭窄桥梁等路段骑行自行车时，符合安全驾驶义务的是以下哪一项？,为了避免影响后方车辆，提高速度快速通过。,关闭车灯骑行，使自己的车辆不易被发现。,减速慢行，同时充分确认前后方安全后通行。,安全驾驶义务仅适用于汽车，因此自行车可以以任意速度行驶。,3,在视线不良、容易发生碰撞的地点，应减速慢行，并充分确认安全。,《道路交通法》第42条
人行道通行,高级,以下哪种情况允许自行车在人行道上通行？,携带较多行李时，可以一直在人行道上骑行。,在交通标志允许，或属于未满13岁、70岁以上等例外情况时。,赶时间的时候。,如果觉得车流较多，可以自由转到人行道骑行。,2,只有在设有交通标志、由未满13岁、70岁以上或身体残障人士骑行，或存在不得已情况时，才允许在人行道骑行。,"警察厅 自行车门户网站
警察厅：自行车交通规则——人行道骑行的例外情况"
蓝色罚单制度,初级,关于自行车交通违法通知制度（蓝色罚单）的适用年龄，哪项是正确的？,15岁及以上。,18岁及以上。,16岁及以上。,全年龄。,3,根据制度规定，自行车“蓝色罚单”制度原则上适用于16周岁及以上人员。,警视厅 自行车门户网站：蓝色罚单（交通反则通告制度）原则上适用于16周岁及以上人员。
