問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
1,"Las bicicletas, que son vehículos ligeros, pueden circular siempre que la franja lateral esté instalada en el lado izquierdo de la carretera, siempre que no obstruya significativamente el tráfico peatonal.",Principiante,Reglas básicas,〇,"Según la Ley de Tráfico Vial, los vehículos ligeros pueden circular por la franja lateral lateral a la izquierda a una velocidad y método que no obstaculen a los peatones. ◎ Ley de Tráfico Vial",Artículos 17 y 17-2 de la Ley de Tráfico: Disposiciones relativas al método de paso por la franja al borde de la carretera y su relación con los peatones.
2,"Las bicicletas ordinarias deben utilizar carriles bici en las carreteras con carriles bici, salvo en circunstancias inevitables.",Principiante,Reglas básicas,〇,"Según el artículo 63-3, si existe un carril bici, las bicicletas ordinarias, en principio, están obligadas a usar ese carril. Ley de Tráfico Vial 7",Artículo 63-3 de la Ley de Tráfico Vial: Obligación para que las bicicletas regulares pasen cuando haya un carril bici.
3,"En principio, los vehículos ligeros, incluidas las bicicletas, no deben circular codo con codo con otros vehículos ligeros.",Principiante,Reglas básicas,〇,"El artículo 19 de la Ley de Tráfico Vial estipula que los vehículos ligeros no deben circular en paralelo, y existen excepciones separadas para las bicicletas normales. Ley de Tráfico Vial 7",Artículo 19 de la Ley de Tráfico Vial: Disposiciones básicas sobre la prohibición de vehículos ligeros de circular en paralelo.
4,"Cuando hay un paso para bicicletas cerca del lugar donde se pretende el cruce, las bicicletas deben cruzar la carretera usando esa franja de cruce.",Principiante,Reglas básicas,〇,"Según el artículo 63-6, al cruzar una carretera cerca de un carril de cruce bici, existe la obligación de cruzar utilizando ese carril de cruce bici. Ley de Tráfico Vial 7",Artículo 63-6 de la Ley de Tráfico Vial: Métodos para cruzar en lugares con carriles para cruce bici.
5,"Las bicicletas no necesitan detenerse en intersecciones con líneas de parada y señales de ""Stop"" si no hay vehículos cerca.",Principiante,acto peligroso,✕,"Según el artículo 43, en los lugares designados, existe la obligación de detenerse temporalmente en la línea de parada o en un punto similar, independientemente de si hay otros vehículos presentes. Ley de Tráfico Vial 7",Artículo 43 de la Ley de Tráfico Vial: Obligación de detenerse en lugares con señales de stop.
6,"Los vehículos, incluidas las bicicletas, deben detenerse justo antes de la línea de parada al pasar por un paso a nivel para confirmar la seguridad.",Principiante,acto peligroso,〇,El artículo 33 exige una parada y controles de seguridad al pasar por un paso a nivel. Ley de Tráfico Vial 7,Artículo 33 de la Ley de Tráfico Vial: Obligación de detenerse temporalmente y confirmar la seguridad al adelantar un paso a nivel.
7,Está prohibido conducir bicicletas que puedan suponer un riesgo de tráfico debido a sistemas de frenado no conformes.,Principiante,acto peligroso,〇,El artículo 63-9 prohíbe montar en bicicleta que pueda suponer peligro con frenos que no cumplan con las normas. Ley de Tráfico Vial 7,Artículo 63-9 de la Ley de Tráfico Vial: Normas y prohibiciones de conducir sobre dispositivos de frenado en bicicleta.
8,Los ciclistas no deben conducir bicicletas de noche que no tengan equipos reflectantes ni luces traseras que cumplan con las normas.,Principiante,acto peligroso,〇,"Según el artículo 63-9, por la noche deben equiparse reflectores que cumplan las normas o instalar pilotos traseros. Ley de Tráfico Vial 7",Artículo 63-9 de la Ley de Tráfico Vial: Obligación de proporcionar dispositivos reflectantes y luces traseras por la noche.
9,Las bicicletas deben circular con los faros encendidos cuando viajan de noche.,Principiante,acto peligroso,〇,"Según el artículo 52 de la Ley de Tráfico Vial, es obligatorio conducir de noche con los faros encendidos. Ley de Tráfico Vial",Artículo 52 de la Ley de Tráfico Vial: Los faros nocturnos son obligatorios.
10,Los ciclistas siempre pueden tocar la alarma al adelantar por la acera para evitar a los peatones.,Principiante,acto peligroso,✕,"Según el artículo 54, los instrumentos musicales no deben tocarse salvo cuando la ley lo requiera o sea inevitable para evitar peligros, y no está permitido seguir tocándolos con el fin de retirar peatones. Ley de Tráfico Vial",Artículo 54 de la Ley de Tráfico Viario: Cuándo usar o no la alarma de sonido.
11,"Independientemente de las condiciones que te rodean, siempre que sigas el límite de velocidad, puedes montar en bicicleta de cualquier manera.",Principiante,acto peligroso,✕,"El artículo 70 exige conducir a una velocidad y de manera que no perjudique a otros según las condiciones de la carretera y el tráfico, como parte del deber de conducir con seguridad. Ley de Tráfico Vial",El artículo 70 de la Ley de Tráfico estipula la obligación de conducir con seguridad.
