カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
Hành vi nguy hiểm,Trình độ nâng cao,"Việc lưu thông bằng xe đạp trên tuyến đường đến trường hoặc trong khu vực trường học (School Zone), mô tả nào là phù hợp nhất?",Xe đạp hoàn toàn không chịu bất kỳ quy định nào.,"Tùy theo quy định giao thông của từng địa phương, xe đạp cũng có thể bị áp dụng các quy định đặc biệt như cấm lưu thông theo giờ hoặc bắt buộc đi chậm.","Trên toàn quốc, xe đạp bị cấm lưu thông.",Xe đạp phải đi bên trái đường như nguyên tắc.,2,"Theo quy định giao thông của Ủy ban An toàn Công cộng cấp tỉnh, các quy định đối với tuyến đường đến trường cũng có thể áp dụng đối với xe đạp.","Quy tắc thi hành Luật Giao thông Đường bộ
Điều 4 của Tiêu chuẩn quản lý giao thông."
Chính sách xử lý vi phạm giao thông,Trình độ nâng cao,"Sau khi áp dụng chế độ vé phạt xanh (青切符), cách xử lý cơ bản đối với các vi phạm của người đi xe đạp là gì?",Mọi hành vi vi phạm đều sẽ bị lập biên bản phạt (vé xanh) ngay lập tức.,"Sau khi áp dụng chế độ phạt bằng ""vé xanh"", hình thức nhắc nhở, cảnh cáo đã bị bãi bỏ.",Đi xe đạp trên vỉa hè chắc chắn sẽ bị lập biên bản đỏ (赤切符).,"Về cơ bản, vi phạm sẽ bị nhắc nhở/cảnh cáo, nhưng các hành vi nguy hiểm hoặc nghiêm trọng sẽ bị xử lý.",4,"Theo phần Hỏi & Đáp của Cơ quan Cảnh sát Quốc gia, sau khi áp dụng chế độ ""vé xanh"", vi phạm của xe đạp về cơ bản vẫn được xử lý bằng nhắc nhở/cảnh cáo, nhưng các hành vi nguy hiểm hoặc nghiêm trọng sẽ bị xử phạt.","Cơ quan Cảnh sát Quốc gia Nhật Bản (NPA) – Cổng thông tin xe đạp
Câu hỏi thường gặp (FAQ): Hướng dẫn, cảnh cáo và xử lý vi phạm."
Sử dụng điện thoại khi đang lái xe,Trình độ nâng cao,"Đối với việc nhìn chăm chú hoặc thao tác điện thoại được gắn trên giá đỡ điện thoại, cách hiểu nào hiện nay là phù hợp nhất?",Chỉ cần được gắn cố định thì luôn hợp pháp.,Điện thoại được gắn cố định trên giá đỡ hoàn toàn không bị pháp luật điều chỉnh.,"Việc gắn điện thoại không nhất thiết được coi là ""cầm điện thoại"", tuy nhiên nếu gây nguy hiểm thì vẫn có thể bị xử lý về vi phạm nghĩa vụ lái xe an toàn hoặc các lỗi khác.","Dù điện thoại được gắn cố định thì không phải lúc nào cũng bị coi là vi phạm lỗi ""cầm điện thoại"".",3,"Theo quan điểm của cảnh sát được báo chí đưa tin, điện thoại gắn trên giá đỡ không được xem là ""cầm điện thoại"", tuy nhiên nếu gây nguy hiểm khi lái xe thì vẫn có thể bị xử lý theo quy định về nghĩa vụ lái xe an toàn hoặc các quy định khác. Việc đánh giá phụ thuộc vào từng trường hợp cụ thể.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Luật Giao thông Đường bộ và quan điểm của cảnh sát được công bố qua báo chí.
Điều 71 khoản 5-5 và Điều 70."
Lái xe an toàn,Trình độ nâng cao,"Khi đi xe đạp qua giao lộ khuất tầm nhìn hoặc khu vực nguy hiểm, cách di chuyển nào là phù hợp nhất?","Nếu không có người đi bộ thì không cần quan sát, xác nhận an toàn.",Giữ nguyên tốc độ và đi qua thật nhanh.,Nếu không có biển báo thì không có nghĩa vụ kiểm tra an toàn.,"Tùy theo tình huống, phải đi với tốc độ và cách thức an toàn nhất có thể.",4,"Theo hướng dẫn của Cơ quan Cảnh sát Quốc gia, tại giao lộ hoặc nơi nguy hiểm, phải điều khiển xe với tốc độ và phương thức an toàn nhất tùy theo tình huống.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Quy tắc giao thông – Tốc độ và phương pháp điều khiển an toàn."
Quy tắc cơ bản,Trình độ nâng cao,"Theo Điều 34 Khoản 3 của Luật Giao thông đường bộ, cách rẽ phải đúng đối với xe đạp (là xe hạng nhẹ) là gì?",Trước tiên phải đi sát mép phải của đường rồi mới rẽ phải.,Trước tiên di chuyển vào giữa đường rồi mới rẽ phải.,Không có quy định về cách rẽ phải của xe đạp.,"Khi rẽ phải (theo luật Nhật), phải đi sát mép trái đường và thực hiện rẽ hai giai đoạn (二段階右折).",4,"Theo Điều 34 khoản 3 của Luật Giao thông Đường bộ, xe đạp (xe hạng nhẹ) khi rẽ phải phải đi sát mép trái đường và thực hiện rẽ hai giai đoạn (二段階右折).","5 Quy tắc sử dụng xe đạp an toàn (NPA)
Điều 34 khoản 1 và khoản 3 của Luật Giao thông Đường bộ."
Đi song song,Trình độ nâng cao,Trường hợp nào việc đi song song bằng xe đạp được phép như một ngoại lệ?,Khi muốn nói chuyện.,Chỉ áp dụng đối với xe đạp trẻ em.,Được phép đi song song khi có biển báo cho phép đi song song.,"Khi rẽ phải (theo luật Nhật), phải đi sát mép trái đường và thực hiện rẽ hai giai đoạn (二段階右折).",3,"Chỉ khi có biển báo cho phép đi song song, xe đạp mới được phép đi song song như một ngoại lệ.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Quy định của Ủy ban An toàn Công cộng các tỉnh/thành và hướng dẫn của NPA về biển báo cho phép đi song song."
Quy định về số người được chở,Trình độ nâng cao,Trường hợp ngoại lệ nào cho phép chở hai người trên xe đạp là phù hợp nhất?,Nếu quãng đường ngắn thì bất kỳ ai cũng có thể chở hai người.,Chở bạn ngồi phía sau.,Nếu lòng đường vắng thì luôn được phép chở hai người.,"Chỉ được chở hai người trong những trường hợp pháp luật cho phép, chẳng hạn chở trẻ em trên ghế trẻ em.",4,"Chở hai người về nguyên tắc bị cấm, ngoại trừ các trường hợp được pháp luật cho phép như chở trẻ em trên ghế trẻ em.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Sử dụng ghế chở trẻ em trên xe đạp."
Quy tắc cơ bản,Trình độ nâng cao,"Theo quy định pháp luật, xe đạp trợ lực điện phải có cấu tạo sao cho từ tốc độ bao nhiêu km/h trở lên thì động cơ không còn hỗ trợ?",Từ 10 km/h trở lên.,Từ 20 km/h trở lên.,Từ 24 km/h trở lên.,Từ 30 km/h trở lên.,3,"Theo Điều 1-3, từ 24 km/h trở lên, động cơ của xe đạp trợ lực điện không được hỗ trợ thêm lực.","Quy tắc thi hành Luật Giao thông Đường bộ
Điều 1-3."
Quy tắc cơ bản,Trình độ nâng cao,Điều kiện nào phù hợp nhất để được coi là xe đạp thông thường (普通自転車) theo Luật Giao thông đường bộ?,Chỉ cần là xe đạp có từ ba bánh trở lên thì đều được coi là ô tô thông thường.,Chỉ cần có bàn đạp thì bất kể kích thước thế nào cũng đều được coi là xe đạp thông thường.,Xe gắn máy chỉ chạy bằng động cơ.,"Xe đạp có kích thước và cấu tạo phù hợp tiêu chuẩn, không kéo theo phương tiện khác.",4,"Xe đạp thông thường được định nghĩa là xe đạp có kích thước và cấu tạo phù hợp tiêu chuẩn của Nội các, đồng thời không kéo theo phương tiện khác.","5 Quy tắc sử dụng xe đạp an toàn (NPA)
Điều 2, Điều 63-3 của Luật Giao thông Đường bộ và Điều 9-2 của Quy tắc thi hành."
Lái xe sau khi uống rượu,Trình độ nâng cao,Hành vi nào gần nhất với việc tiếp tay cho hành vi lái xe đạp sau khi uống rượu?,Khuyến khích đội mũ bảo hiểm.,"Cho người có ý định uống rượu rồi lái xe đạp mượn xe, cung cấp rượu hoặc nhờ họ lái xe.",Hướng dẫn sử dụng phương tiện giao thông công cộng.,Khuyên người đã uống rượu không điều khiển xe đạp.,2,"Theo tài liệu hướng dẫn, không chỉ việc lái xe sau khi uống rượu mà cả việc cung cấp rượu, cho mượn xe hoặc nhờ người đã uống rượu lái xe cũng có thể bị coi là hành vi tiếp tay.","Cơ quan Cảnh sát Quốc gia – Cổng thông tin xe đạp
Tài liệu tuyên truyền về hành vi tiếp tay cho việc lái xe khi đã uống rượu."
