問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
1,軽車両である自転車は、道路の左側に設けられた路側帯やったら、歩行者の通行を著しく妨げへん限り通行できるで。,初級,基本ルール,〇,"道路交通法では、軽車両は左側に設けられた路側帯を、歩行者の通行を妨げへん速度と方法で通れることになっとるで。
道路交通法",道路交通法 第17条・第17条の2 路側帯の通行方法と歩行者との関係に関する規定。
2,"普通自転車は、自転車道が設けられとる道路では、やむを得へん場合などを除いて、自転車道を通らなあかんで。
",初級,基本ルール,〇,"第63条の3では、自転車道がある場合、普通自転車は原則としてその自転車道を通らなあかんことになっとるで。
 道路交通法",道路交通法第63条の3 自転車道がある場合の普通自転車の通行義務。
3,"自転車を含む軽車両は、並んで通ることになる場合、原則としてほかの軽車両と並んで走ったらあかんで。
",初級,基本ルール,〇,"道路交通法第19条では、軽車両は並んで走ったらあかんと定められとって、普通自転車については別に特例が設けられとるで。
道路交通法",道路交通法第19条 軽車両の並進禁止に関する基本規定。
4,"自転車は、道路を横断しようとする場所の近くに自転車横断帯があるときは、その自転車横断帯を通って道路を横断せなあかんで。
",初級,基本ルール,〇,第63条の6では、自転車横断帯がある場所の近くで道路を横断する場合はその自転車横断帯を通って横断せなあかんことになっとるで。道路交通法,道路交通法第63条の6 自転車横断帯がある場所での横断方法。
5,自転車は、停止線のある「止まれ」の標識がある交差点でも、周りに車がおらへんかったら一時停止せんでもええで。,初級,危険行為,✕,"第43条では、指定された場所ではほかの車がおるかどうかに関係なく、停止線の直前などで一時停止せなあかんことになっとるで。
道路交通法",道路交通法第43条 一時停止標識がある場所での停止義務。
6,自転車を含む車両などは、踏切を通るときは停止線の手前で一時停止して、安全を確認せなあかんで。,初級,危険行為,〇,"第33条では、踏切を通るときは一時停止して、安全を確認せなあかんことになっとるで。
道路交通法",道路交通法第33条 踏切通過時の一時停止と安全確認義務。
7,基準に合ってへんブレーキが付いとって、交通の危険を生じさせるおそれがある自転車を運転することは禁止されとるで。,初級,危険行為,〇,"第63条の9では、基準に合ってへんブレーキで危険を生じさせるおそれがある自転車を運転したらあかんことになっとるで。
道路交通法",道路交通法第63条の9 自転車の制動装置に関する基準と運転禁止。
8,自転車の運転者は、夜に基準に合った反射器材か尾灯を付けてへん自転車を運転したらあかんで。,初級,危険行為,〇,"第63条の9では、夜は基準に合った反射器材を付けるか、尾灯を点けなあかんことになっとるで。
 道路交通法",道路交通法第63条の9 夜間の反射器材・尾灯の備付け義務。
9,自転車は、夜に通るときは前照灯を点けて運転せなあかんで。,初級,危険行為,〇,"道路交通法第52条では、夜は前照灯などを点けて運転せなあかんことになっとるで。
道路交通法",道路交通法第52条 夜間の前照灯点灯義務。
10,自転車の運転者は、歩行者をよけさせるために、いつでもベル（警音器）を鳴らしながら歩道を通ってええで。,初級,危険行為,✕,"第54条では、警音器は法令で定められた場合や、危険を防ぐためにやむを得へん場合を除いて鳴らしたらあかんことになっとるから、歩行者をどかすために鳴らし続けることは認められへんで。
道路交通法",道路交通法 第54条 警音器を鳴らすべき場合・鳴らしてはならない場合。
11,周りの状況に関係なく、制限速度さえ守っとれば、自転車をどんな運転の仕方で走らせてもええで。,初級,危険行為,✕,"第70条では、安全運転義務として、道路や交通の状況に応じて、ほかの人に危害を及ぼさんような速度と方法で運転せなあかんことになっとるで。
道路交通法",道路交通法 第70条 安全運転義務に関する規定。
12,自転車が止まっとらんときに、スマートフォンの画面を見続けながら運転することは、安全運転義務違反になる可能性があるで。,初級,危険行為,〇,"走っとる最中に携帯電話などの画面を見続ける行為は前方不注意につながって、安全運転義務に反する危ない行為やで。
道路交通法",道路交通法第70条・第71条 安全運転義務および携帯電話等の使用に関する規定。
13,傘差しや片手運転など、ハンドルなどの操作を十分にできへん状態で自転車を運転することは、安全運転義務違反になる可能性があるで。,初級,危険行為,〇,ハンドルやブレーキをしっかり操作できへん状態での運転は、安全運転義務（第70条）に反するものとして、取締りの対象になることがあるで。道路交通法,道路交通法第70条・第71条 安全なハンドル操作を妨げる態様の運転に関する規定。
14,大人の自転車利用者にも、乗車用ヘルメットをかぶるよう努めることが法律で求められとるで。,初級,危険行為,〇,第63条の11では、自転車の運転者は年齢に関係なく、乗車用ヘルメットをかぶるよう努めなあかんことになっとるで。道路交通法,道路交通法 第63条の11 自転車運転者のヘルメット着用努力義務。
15,児童や幼児を保護する責任がある人は、その児童らが自転車を運転する場合、乗車用ヘルメットをかぶらせるよう努めなあかんで。,初級,危険行為,〇,"第63条の11では、児童や幼児の保護者に対しても、ヘルメットをかぶらせるよう努めなあかんことになっとるで。
道路交通法",道路交通法第63条の11 児童・幼児に対するヘルメット着用の努力義務。
16,自転車は、片側一車線の道路でも、原則として右側を通ったらあかんで。,初級,危険行為,✕,軽車両は道路の左側を通らなあかんことになっとって、正面衝突などの危険が高まる右側通行は、原則として認められてへんで。道路交通法,道路交通法第17条・第18条 車両の通行区分および左側通行の原則に関する規定。
17,夜に反射材や明るい色の服を身に付けることは、法律上の努力義務や安全運転義務の面から見ても望ましいとされとるで。,初級,危険行為,〇,"夜は周りから見えやすくすることが大事やから、反射材を使うことなどは事故防止のために強く勧められとるで。
道路交通法",道路交通法 第70条 夜間の安全運転・被視認性確保に関する安全運転義務の一部としての考え方。
18,通学路や学校の近くでは、児童らの安全を守るために、自転車も速度や通る場所にいつも以上に気を配らなあかんで。,初級,危険行為,〇,"子どもの飛び出しなどの危険が高い場所では、安全運転義務に基づいて、特に慎重に運転せなあかんで。
道路交通法",道路交通法 第76条・関連通学路指定 通学路等における安全確保のための配慮義務（法・通達・条例の組合せ）。
