カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
危険行為,上級,通学路やスクールゾーンにおける自転車の通行について、最も適切な説明はどれか。,自転車には一切の規制がかからない,"地域の交通規制により、自転車にも時間帯通行禁止や
徐行義務など特別な規制がかかることがある",全国一律で、自転車の通行は禁止されている,自転車は自動車と同様に、必ず右側通行が義務付けられている,2,"通学路規制は各都道府県公安委員会の交通規制により、
自転車にも影響するケースがある","道路交通法施行規則
道路交通法・交通規制基準第4条"
取締方針,上級,青切符導入後の自転車違反の基本運用としてただいいものはどれでしょうか,すべての違反が即青切符になる,青切符制度により指導警告は廃止された,歩道通行は必ず赤切符になる,"違反は基本的に指導警告だが、悪質・危険な違反は検挙対象
となる",4,"警察庁FAQでは、青切符導入後も自転車違反は基本的に
指導警告とされる一方、悪質・危険な違反は検挙対象と説明されている","警察庁　自転車ポータルサイト
自転車ポータルサイトFAQ指導警告と検挙"
ながらスマホ,上級,"スマホホルダーに固定したスマホの注視・操作について、現時点の整理として
最も適切なものはどれでしょうか",固定していれば常に適法,固定スマホに関しては一切法規制がない,"「保持」には当たらない整理がある一方、
危険を生じさせれば安全運転義務違反等が問題になり得る",固定していても常に第７１条第5号の５の「保持」違反になる,3,"報道ベースの警察見解では、固定スマホは「保持」には
当たらない整理がある一方、危険な運転になれば安全運転義務違反など別の評価が問題になり得る
個別判断のためグレー要素がある","警察庁　自転車ポータルサイト
道路交通法・報道ベースの警察見解
第71条題号の５・第70条"
安全運転,上級,"見通しの悪い交差点や危険個所での自転車の進行方法として、最も適切なものは
どれでしょうか",歩行者がいなければ確認不要である,速度を維持して一気に通過する,標識がなければ安全確認義務はない,状況に応じて、できる限り安全な速度と方法で進行する,4,"警察庁の解説では、交差点や危険個所では状況に応じて、
できる限り安全速度と方法で進行することが求められている","警察庁　自転車ポータルサイト
自転車ポータルサイト　交通ルール　安全な速度と方法"
基本ルール,上級,"軽車両である自転車の右折方法として、道路交通法大4条第3項の規定に沿うものは
どれでしょうか",あらかじめ道路の右側端に寄ってから右折する,あらかじめ道路の中央に寄ってから右折する,右折方法は定められていない,あらかじめ道路の左側端に寄り、交差点の側端に沿って進行するいわゆる二段階右折を行う,4,道路交通法第34条第３項により、軽車両は右折する際、あらかじめ道路の左側端に寄り、交差点の側端に沿って進行する二段階右折を行うこととされている,"自転車安全利用五則｜警察庁
道路交通法第34条第1項・第3項"
並走,上級,自転車の並進が例外的に認められる場合として適切なものはどれでしょうか,会話をしたいとき,子供用自転車に限る,並進可の標識が設置されている場合,歩道上であれば常に可能,3,並進可標識が設置されている場合は、自転車の並進が例外的に認められる,"警察庁　自転車ポータルサイト
都道府県公安委員会規則・警察庁ルール解説　並進可標識"
乗車制限,上級,自転車の二人乗りの例外として最も適切なものはどれでしょうか,短距離であればだれでも二人乗り可,友人を後部に乗せる,車道が空いていれば常に可,幼児用座席に幼児を乗せるなど、法令上認められた場合,4,二人乗りは原則禁止だが、幼児用座席に幼児を乗せるなど法令上認められた例外がある,"警察庁　自転車ポータルサイト
警察庁　自転車の安全利用　幼児用座席"
基本ルール,上級,法令上の電動アシスト自転車は、何km/h以上の速度域で原動機による補助が加わらない構造でなければならないか,10km/h以上,20km/h以上,24km/h以上,30km/h以上,3,第1条の３により、24km/h以上では原動機による補助力が加わらないことが求められている,"道路交通法施行規則
道路交通法施行規則　第1条の３"
基本ルール,上級,道路交通法上の「普通自動車」に該当する条件として、最も適切なものはどれでしょうか,三輪以上の自転車であればすべて普通自動車,ペダルがついていれば大きさに関係なくすべて普通自動車,原動機のみで走行する原動機付き自転車,車体の大きさ・構造が基準に適合し、ほかの車両を牽引していない自転車,4,普通自転車は、車体の大きさ及び構造が内閣府令の基準に適合し、ほかの車両を牽引していない自転車と定義されている,"自転車安全利用五則｜警察庁
道路交通法第2条・第63条の３・施行規則第9条の２"
飲酒運転,上級,自転車の飲酒運転に関する「ほう助」として問題になり得る行為に最も近いものはどれでしょうか,ヘルメット着用を進める,"飲酒して運転しそうな人に自転車を貸す・酒を提供する
・運転を依頼する",公共交通機関を案内する,飲酒した本人に運転をやめるよう説得する,2,周知資料では、飲酒運転そのものだけでなく、酒類提供・自転車提供・運転依頼などのほう助も問題になり得ると整理されている,"警察庁　自転車ポータルサイト
道路交通法・周知資料　飲酒運転のほう助"
