Category,Difficulty,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer Number,Explanation,Related Traffic Rule
Dangerous Conduct,Advanced,What is the most appropriate explanation regarding bicycle travel on school routes and in school zones?,Bicycles are not subject to any regulations.,Special traffic regulations such as time-based restrictions or slow-speed requirements may also apply to bicycles depending on local traffic controls.,Bicycles are prohibited nationwide without exception.,"Bicycles, like automobiles, are required to travel on the right side of the road.",2,"School-route restrictions may also affect bicycles in some cases, depending on traffic regulations established by each Prefectural Public Safety Commission.","Road Traffic Act Enforcement Regulations; Road Traffic Act and Traffic Regulation Standards, Article 4"
Enforcement Policy,Advanced,Which of the following best describes the basic enforcement approach for bicycle violations after the introduction of the blue ticket system?,All violations immediately result in a blue ticket.,The blue-ticket system abolished warnings and guidance measures.,Riding on the sidewalk always results in a red ticket.,"Violations are generally handled with warnings, but serious or dangerous violations may be subject to enforcement action.",4,"According to the National Police Agency FAQ, even after the introduction of traffic tickets for bicycles, most bicycle violations are generally handled through guidance and warnings, while malicious or dangerous violations may be subject to enforcement action.","National Police Agency Bicycle Portal Site; Bicycle Portal Site FAQ – Guidance, Warnings, and Enforcement Actions"
Smartphone Use While Riding,Advanced,Which of the following is the most appropriate current interpretation regarding viewing or operating a smartphone fixed in a smartphone holder?,"If mounted, it is always legal.",There are no legal restrictions whatsoever regarding mounted smartphones.,"While using a smartphone mounted in a holder may not be considered “holding” the device, causing danger could still constitute a violation of the duty of safe driving.","Even when mounted, it is always considered a violation of the “holding” prohibition under Article 71-5-5.",3,"According to police interpretations reported in the media, a smartphone mounted on a fixed holder is generally not considered “handheld use.” However, if it results in dangerous riding, it may still be evaluated as a violation of the duty to drive safely or other provisions. Because assessments are made case by case, some gray areas remain.",National Police Agency Bicycle Portal Site; Road Traffic Act and Police Interpretations Reported in the Media; Article 71-5-5 and Article 70
Safe Riding,Advanced,What is the most appropriate way for a cyclist to proceed at a blind intersection or other hazardous location?,"If there are no pedestrians, checking is unnecessary.",Maintain speed and pass through quickly.,"If there is no sign, there is no obligation to check for safety.",Proceed at a speed and in a manner that is as safe as possible under the circumstances.,4,"According to National Police Agency guidance, cyclists are required to proceed at a speed and in a manner that is as safe as possible, depending on conditions at intersections and other hazardous locations.",National Police Agency Bicycle Portal Site; Bicycle Portal Site Traffic Rules – Safe Speed and Riding Methods
Basic Rules,Advanced,"Which of the following conforms to Article 34, Paragraph 3 of the Road Traffic Act regarding the method of making a right turn on a bicycle, which is classified as a light vehicle?",Move to the far right side of the road before making a right turn.,Move toward the center of the road before turning right.,No method for making a right turn is prescribed.,Move to the left edge of the roadway in advance and make a two-stage right turn by proceeding along the side of the intersection.,4,"Under Article 34, Paragraph 3 of the Road Traffic Act, cyclists must make a two-stage right turn by first keeping to the left side of the road and then proceeding along the edge of the intersection.","Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 34, Paragraphs 1 and 3"
Riding Side by Side,Advanced,Under what circumstances is riding a bicycle side by side exceptionally permitted?,When you want to have a conversation.,Only children's bicycles are allowed.,When a “parallel riding permitted” sign is installed.,It is always permitted on sidewalks.,3,Cycling side by side is exceptionally permitted when a sign specifically allows parallel riding.,National Police Agency Bicycle Portal Site; Prefectural Public Safety Commission Regulations and National Police Agency Guidance – Parallel Riding Permitted Signs
Passenger Restrictions,Advanced,Which of the following is the most appropriate exception to the prohibition on carrying a passenger on a bicycle?,Anyone may ride double for a short distance.,Carry a friend on the rear of the bicycle.,It is always permitted if the roadway is clear.,"When legally permitted, such as carrying a child in a child seat.",4,"Carrying a passenger on a bicycle is generally prohibited, although exceptions exist, such as carrying a child in an approved child seat.",National Police Agency Bicycle Portal Site; National Police Agency Safe Bicycle Use – Child Seats
Basic Rules,Advanced,At what speed must a legally compliant electric-assist bicycle cease providing motor assistance?,10 km/h or more.,20 km/h or higher.,24 km/h or higher.,30 km/h or higher.,3,Article 1-3 requires that no motor-assisted power be provided when the bicycle reaches speeds of 24 km/h or higher.,Road Traffic Act Enforcement Regulations; Article 1-3 of the Road Traffic Act Enforcement Regulations
Basic Rules,Advanced,Which of the following best satisfies the legal requirements for a “standard bicycle” under the Road Traffic Act?,Any bicycle with three or more wheels is considered an ordinary bicycle.,Any vehicle with pedals is an ordinary bicycle regardless of size.,A motorized bicycle powered solely by its engine.,A bicycle whose size and structure meet legal standards and that is not towing another vehicle.,4,An ordinary bicycle is defined as a bicycle whose size and structure comply with Cabinet Office standards and that is not towing another vehicle.,"Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 2, Article 63-3, and Enforcement Regulations Article 9-2"
Drunk Riding,Advanced,Which action is most likely to be considered aiding and abetting drunk cycling?,Encourage helmet use.,"Lending a bicycle to a person likely to ride after drinking, providing alcohol, or asking them to ride.",To direct the person to public transportation.,Persuading a person who has been drinking not to ride.,2,"Public information materials explain that not only drunk cycling itself but also assisting it—such as providing alcohol, lending a bicycle, or requesting someone to ride after drinking—may constitute an offense.",National Police Agency Bicycle Portal Site; Road Traffic Act and Public Information Materials – Assisting Drunk Cycling
