問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
1,จักรยานซึ่งเป็นยานพาหนะขนาดเล็กสามารถเดินทางได้ตราบเท่าที่ติดตั้งแถบริมถนนทางด้านซ้ายของถนน ตราบใดที่ไม่กีดขวางการจราจรของคนเดินเท้าอย่างมีนัยสําคัญ,ระดับเริ่มต้น,กฎพื้นฐาน,〇,ภายใต้พระราชบัญญัติจราจรทางบก ยานพาหนะขนาดเล็กสามารถวิ่งไปตามแถบริมถนนทางด้านซ้ายด้วยความเร็วและวิธีการที่ไม่กีดขวางคนเดินถนน ◎ พระราชบัญญัติจราจรทางบก,พระราชบัญญัติจราจรทางบกมาตรา 17 และ 17-2: บทบัญญัติเกี่ยวกับวิธีการผ่านไปตามแถบริมถนนและความสัมพันธ์กับคนเดินเท้า
2,จักรยานธรรมดาต้องใช้เลนจักรยานบนถนนที่มีเลนจักรยาน ยกเว้นในสถานการณ์ที่หลีกเลี่ยงไม่ได้,ระดับเริ่มต้น,กฎพื้นฐาน,〇,ตามมาตรา 63-3 หากมีเลนจักรยาน โดยหลักการแล้วจักรยานธรรมดาจะต้องใช้เลนนั้น พระราชบัญญัติจราจรทางบก 7,มาตรา 63-3 ของพระราชบัญญัติจราจรทางบก: ภาระผูกพันสําหรับจักรยานธรรมดาที่ต้องผ่านเมื่อมีเลนจักรยาน
3,โดยหลักการแล้ว ยานพาหนะขนาดเล็กรวมถึงจักรยานจะต้องไม่เคียงข้างกับยานพาหนะขนาดเล็กอื่นๆ,ระดับเริ่มต้น,กฎพื้นฐาน,〇,มาตรา 19 ของพระราชบัญญัติจราจรทางบกกําหนดว่ายานพาหนะขนาดเล็กต้องไม่ขี่ขนานกัน และมีข้อยกเว้นแยกต่างหากสําหรับจักรยานธรรมดา พระราชบัญญัติจราจรทางบก 7,มาตรา 19 ของพระราชบัญญัติจราจรทางบก: บทบัญญัติพื้นฐานเกี่ยวกับการห้ามยานพาหนะขนาดเล็กขนานกัน
4,เมื่อมีทางม้าลายจักรยานใกล้กับสถานที่ตั้งใจจะข้ามจักรยานจักรยานจะต้องข้ามถนนโดยใช้แถบทางข้ามนั้น,ระดับเริ่มต้น,กฎพื้นฐาน,〇,ตามมาตรา 63-6 เมื่อข้ามถนนใกล้กับเลนทางม้าลายจักรยาน พระราชบัญญัติจราจรทางบก 7,มาตรา 63-6 ของพระราชบัญญัติจราจรทางบก: วิธีการข้ามในสถานที่ที่มีเลนจักรยานข้าม
5,"จักรยานไม่จําเป็นต้องหยุดที่สี่แยกที่มีเส้นหยุดและป้าย ""หยุด"" หากไม่มียานพาหนะอยู่ใกล้ๆ",ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,ตามมาตรา 43 ณ สถานที่ที่กําหนด มีภาระผูกพันที่จะต้องหยุดชั่วคราวที่เส้นหยุดหรือจุดที่คล้ายกัน พระราชบัญญัติจราจรทางบก 7,มาตรา 43 ของพระราชบัญญัติจราจรทางบก: ภาระผูกพันในการหยุดรถในสถานที่ที่มีป้ายหยุด
6,ยานพาหนะรวมถึงจักรยานต้องหยุดก่อนเส้นหยุดเมื่อผ่านทางข้ามทางรถไฟเพื่อยืนยันความปลอดภัย,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,มาตรา 33 กําหนดให้มีการหยุดและตรวจสอบความปลอดภัยเมื่อผ่านทางข้ามทางรถไฟ พระราชบัญญัติจราจรทางบก 7,มาตรา 33 ของพระราชบัญญัติจราจรทางบก: หน้าที่ในการหยุดชั่วคราวและยืนยันความปลอดภัยเมื่อผ่านทางข้ามระดับ
7,ห้ามขับขี่จักรยานที่อาจก่อให้เกิดอันตรายจากการจราจรเนื่องจากระบบเบรกที่ไม่เป็นไปตามข้อกําหนด,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,มาตรา 63-9 ห้ามขี่จักรยานที่อาจก่อให้เกิดอันตรายกับเบรกที่ไม่เป็นไปตามมาตรฐาน พระราชบัญญัติจราจรทางบก 7,มาตรา 63-9 ของพระราชบัญญัติจราจรทางบก: มาตรฐานและข้อห้ามในการขับขี่อุปกรณ์เบรกจักรยาน
8,ผู้ขับขี่จักรยานต้องไม่ขับขี่จักรยานในเวลากลางคืนที่ไม่มีอุปกรณ์สะท้อนแสงหรือไฟท้ายที่ได้มาตรฐาน,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 63-9 ในเวลากลางคืนต้องติดตั้งแผ่นสะท้อนแสงที่ได้มาตรฐานหรือต้องติดตั้งไฟท้าย พระราชบัญญัติจราจรทางบก 7,มาตรา 63-9 ของพระราชบัญญัติจราจรทางบก: ภาระผูกพันในการจัดหาอุปกรณ์สะท้อนแสงและไฟท้ายในเวลากลางคืน
9,จักรยานต้องขี่โดยเปิดไฟหน้าเมื่อเดินทางในเวลากลางคืน,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 52 ของพระราชบัญญัติจราจรทางบก จําเป็นต้องขับรถในเวลากลางคืนโดยเปิดไฟหน้า พระราชบัญญัติจราจรทางบก,มาตรา 52 ของพระราชบัญญัติจราจรทางบก: ไฟหน้าในเวลากลางคืนเป็นข้อบังคับ
10,ผู้ขับขี่จักรยานอาจกดกริ่ง (นาฬิกาปลุก) เสมอขณะเดินผ่านทางเท้าเพื่อหลีกเลี่ยงคนเดินถนน,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,✕,ตามมาตรา 54 ห้ามเล่นเครื่องดนตรี เว้นแต่เมื่อกฎหมายกําหนดหรือหลีกเลี่ยงไม่ได้เพื่อป้องกันอันตราย และไม่อนุญาตให้เล่นเครื่องดนตรีต่อไปเพื่อจุดประสงค์ในการกําจัดคนเดินเท้า พระราชบัญญัติจราจรทางบก,พระราชบัญญัติจราจรทางบกมาตรา 54: เมื่อใดควรใช้เสียงเตือนภัย
