問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
1,"A bicycle, as a light vehicle, may travel on the road shoulder located on the left side of the roadway, as long as it does not significantly obstruct pedestrian traffic.",Beginner,Basic Rules,〇,"Under the Road Traffic Act, light vehicles may travel on the road shoulder on the left side of the roadway at a speed and in a manner that does not obstruct pedestrians.",Articles 17 and 17-2 of the Road Traffic Act: Regulations on how light vehicles use road shoulders and their relationship with pedestrians.
2,"An ordinary bicycle must use the bicycle lane on roads where such a lane is provided, except in unavoidable circumstances.",Beginner,Basic Rules,〇,"Under Article 63-3, when a bicycle lane exists, an ordinary bicycle is obligated to use that bicycle lane in principle.",Article 63-3 of the Road Traffic Act: Obligation for ordinary bicycles to use bicycle lanes when provided.
3,"Light vehicles, including bicycles, must not ride side by side with other light vehicles in principle.",Beginner,Basic Rules,〇,"Article 19 of the Road Traffic Act prohibits light vehicles from riding side by side, with certain exceptions for ordinary bicycles.",Article 19 of the Road Traffic Act: Basic rule prohibiting side-by-side riding of light vehicles.
4,"When a bicycle is near a location where a bicycle crossing lane is provided, it must cross the road using that bicycle crossing lane.",Beginner,Basic Rules,〇,"Under Article 63-6, when crossing a road near a bicycle crossing lane, bicycles must cross using that lane.",Article 63-6 of the Road Traffic Act: Method of crossing where a bicycle crossing lane is provided.
5,"Even at intersections with a stop line and a “Stop” sign, a bicycle does not need to stop if no vehicles are around.",Beginner,Dangerous Acts,✕,"Under Article 43, at designated locations, a complete stop is required before the stop line regardless of the presence of other vehicles.",Article 43 of the Road Traffic Act: Obligation to stop at locations with a stop sign.
6,Vehicles including bicycles must stop immediately before the stop line when passing a railroad crossing and ensure safety.,Beginner,Dangerous Acts,〇,"Under Article 33, bicycles must stop and ensure safety when passing a railroad crossing.",Article 33 of the Road Traffic Act: Obligation to stop and ensure safety when passing a railroad crossing.
7,It is prohibited to operate a bicycle equipped with braking devices that do not meet standards and may cause traffic danger.,Beginner,Dangerous Acts,〇,"Under Article 63-9, bicycles with braking devices that do not meet standards and may cause danger must not be operated.",Article 63-9 of the Road Traffic Act: Standards for bicycle braking devices and prohibition on operating unsafe bicycles.
8,A bicycle operator must not ride at night without a compliant reflector or tail lamp.,Beginner,Dangerous Acts,〇,"Under Article 63-9, bicycles must be equipped with a compliant reflector or tail lamp when traveling at night.",Article 63-9 of the Road Traffic Act: Obligation to equip bicycles with reflectors or tail lamps at night.
9,A bicycle must use its headlamp when traveling at night.,Beginner,Dangerous Acts,〇,"Under Article 52, bicycles must use a headlamp when traveling at night.",Article 52 of the Road Traffic Act: Obligation to use a headlamp at night.
10,A bicycle operator may ride on the sidewalk while continuously ringing the bell to make pedestrians move aside.,Beginner,Dangerous Acts,✕,"Under Article 54, audible warning devices may only be used when required by law or to prevent danger, and continuous ringing to force pedestrians aside is not permitted.",Article 54 of the Road Traffic Act: When audible warning devices must and must not be used.
11,"Regardless of surrounding conditions, as long as the speed limit is obeyed, any riding method is acceptable for bicycles.",Beginner,Dangerous Acts,✕,"Article 70 requires operating at a speed and in a manner that does not endanger others, according to road and traffic conditions.",Article 70 of the Road Traffic Act: Regulations concerning the obligation of safe driving.
12,Operating a bicycle while staring at a smartphone screen when the bicycle is not stopped may constitute a violation of the safe driving obligation.,Beginner,Dangerous Acts,〇,Looking at a mobile phone screen while riding is considered inattention to the front and violates the safe‑driving obligation.,Articles 70 and 71 of the Road Traffic Act: Regulations on safe driving and the use of mobile phones.
13,"Riding a bicycle while unable to properly operate the handlebars, such as when holding an umbrella or using one hand, may constitute a safe driving obligation violation.",Beginner,Dangerous Acts,〇,Riding in a manner that prevents proper operation of the handlebars or brakes may violate the safe‑driving obligation under Article 70.,Articles 70 and 71 of the Road Traffic Act: Regulations on riding in a manner that interferes with proper handle operation.
14,Adult bicycle users are legally encouraged to wear a bicycle helmet.,Beginner,Dangerous Acts,〇,"Under Article 63-11, bicycle riders of all ages are encouraged to wear a helmet.",Article 63-11 of the Road Traffic Act: Helmet-wearing encouragement duty for bicycle riders.
15,A person responsible for a child must ensure that the child wears a bicycle helmet when riding a bicycle.,Beginner,Dangerous Acts,〇,Article 63-11 also imposes a duty on guardians to encourage children to wear helmets.,Article 63-11 of the Road Traffic Act: Helmet-wearing encouragement duty for children and infants.
16,A bicycle must not travel on the right side of the roadway even on a one-lane road.,Beginner,Dangerous Acts,✕,"Light vehicles must travel on the left side of the roadway, and right‑side riding is generally prohibited due to increased collision risk.",Articles 17 and 18 of the Road Traffic Act: Regulations on traffic lane usage and the principle of left-side travel.
17,Wearing reflective materials or bright-colored clothing at night is considered desirable from the standpoint of legal duty of care and safe driving.,Beginner,Dangerous Acts,〇,"Increasing visibility at night, such as using reflective materials, is strongly recommended for accident prevention.",Article 70 of the Road Traffic Act: Concept of ensuring visibility at night as part of safe driving obligations.
18,"On school routes and near schools, bicycles are required to pay extra attention to speed and riding position for the safety of children.",Beginner,Dangerous Acts,〇,"In areas with high risk of children suddenly entering the roadway, extra caution is required under the safe‑driving obligation.",Article 76 and related school-route designations: Duty of care to ensure safety on school routes.
19,"On steep downhill slopes, as long as the speed is below the speed limit, riding at any speed does not constitute a violation of the safe driving obligation.",Beginner,Dangerous Acts,✕,"Depending on slope and road conditions, riding may be dangerous even below the speed limit, requiring appropriate speed adjustment.",Article 70 of the Road Traffic Act: Obligation to maintain safe speed on downhill slopes.
20,"Even in rainy weather or strong winds, there is no need to change bicycle riding methods as long as the speed limit is observed.",Beginner,Dangerous Acts,✕,"In bad weather, braking distance increases and visibility decreases, requiring slower and more cautious riding.",Article 70 of the Road Traffic Act: Speed adjustment obligations during rain or strong winds.
