카테고리,난이도,문제,선택지 1,선택지 2,선택지 3,선택지 4,정답 번호,해설,관련 교통 규칙
위험행위,고급,통학로 및 스쿨존에서의 자전거 통행에 관한 설명으로 가장 적절한 것은 무엇인가?,자전거에는 어떠한 규제도 적용되지 않는다.,지역의 교통 규제에 따라 자전거에도 시간대 통행 금지나 서행 의무 등의 특별 규제가 적용될 수 있다.,"도로교통법상 규제는 없으며, 자유롭게 통행할 수 있다.",자전거는 자동차와 마찬가지로 반드시 우측통행을 해야 한다.,2,통학로 규제는 각 도도부현 공안위원회의 교통규제에 따라 자전거에도 적용되는 경우가 있다.,도로교통법 시행규칙 · 도로교통법·교통규제기준 제4조
단속 방침,고급, 범칙금 제도(청색 딱지) 도입 후 자전거 위반에 대한 기본 운용으로 올바른 것은 무엇인가?,모든 위반은 즉시 범칙금(청색 딱지) 대상이 된다.,청색 범칙금 제도 도입으로 지도·경고는 폐지되었다.,고속도로 전용 기준,"위반은 기본적으로 지도·경고 대상이지만, 악질적이거나 위험한 위반은 단속·검거 대상이 된다.",4,"경찰청 FAQ에 따르면 청색 딱지 제도 도입 후에도 자전거 위반은 기본적으로 지도·경고 대상이지만, 악질적이거나 위험한 위반은 단속 대상이 된다고 설명하고 있다.",경찰청 자전거 포털 사이트 · 자전거 포털 사이트 FAQ 지도경고와 검거
주행 중 스마트폰 사용,고급, 스마트폰 거치대에 고정된 스마트폰을 주시하거나 조작하는 행위에 대한 현재 기준으로 가장 적절한 것은 무엇인가?,고정되어 있으면 항상 적법하다.,거치대에 고정된 스마트폰에 대해서는 일체의 법적 규제가 없다.,앞바퀴나 뒷바퀴 중 어느 한쪽만 제동할 수 있으면 된다.,고정되어 있어도 항상 제71조 제5호의5의 ‘휴대(보유)’ 위반이 된다.,3,"언론 보도를 통해 알려진 경찰 견해에 따르면, 거치된 스마트폰은 ‘손에 들고 사용(保持)’에 해당하지 않는 것으로 정리되는 한편, 위험한 운전으로 이어질 경우 안전운전의무 위반 등 다른 평가가 문제 될 수 있다. 개별 사안에 따라 판단되므로 회색지대 요소가 있다.",경찰청 자전거 포털 사이트 · 도로교통법·보도 기반 경찰 견해 · 제71조 제5호의5·제70조
안전운전,고급, 시야가 좋지 않은 교차로나 위험 장소에서 자전거의 진행 방법으로 가장 적절한 것은 무엇인가?,보행자가 없으면 확인할 필요가 없다.,속도를 유지한 채 한 번에 통과한다.,"임의 사항이며, 법률상 전혀 언급되어 있지 않다.",상황에 따라 가능한 한 안전한 속도와 방법으로 진행한다.,4,경찰청 해설에 따르면 교차로나 위험 장소에서는 상황에 따라 가능한 한 안전한 속도와 방법으로 진행해야 한다.,경찰청 자전거 포털 사이트 · 자전거 포털 사이트 교통규칙 안전한 속도와 방법
기본 규칙,고급, 경차량인 자전거의 우회전 방법으로서 도로교통법 제34조 제3항의 규정에 부합하는 것은 무엇인가?,미리 도로 오른쪽 가장자리로 붙은 후 우회전한다.,미리 도로 중앙으로 붙은 뒤 우회전한다.,13세 이상,"미리 도로의 왼쪽 가장자리로 붙은 뒤, 교차로의 가장자리를 따라 진행하는 이른바 ‘2단계 우회전’을 한다.",4,도로교통법 제34조 제3항에 따라 경차량은 우회전 시 미리 도로 왼쪽 가장자리로 붙어 교차로의 가장자리를 따라 진행하는 이른바 2단계 우회전을 해야 한다.,자전거 안전이용 5칙｜경찰청 · 도로교통법 제34조 제1항·제3항
병렬 주행,고급, 자전거의 병렬 주행이 예외적으로 허용되는 경우로 적절한 것은 무엇인가?,대화를 하고 싶을 때.,어린이용 자전거에 한정된다.,길이 185cm·폭 55cm·이륜·사이드카 없음·운전자석과 유아용 좌석만 있음·전후 브레이크 장착,보도 위라면 언제나 가능하다.,3,‘병진 가능’ 표지판이 설치된 경우에는 자전거의 나란히 주행이 예외적으로 허용된다.,경찰청 자전거 포털 사이트 · 도도부현 공안위원회 규칙·경찰청 규칙 해설 병진 가능 표지
탑승 제한,고급, 자전거 2인 탑승의 예외에 해당하는 경우로 가장 적절한 것은 무엇인가?,짧은 거리라면 누구나 2인 탑승이 가능하다.,친구를 뒷자리에 태운다.,보호자는 아동 등이 승차용 헬멧을 착용하도록 노력할 의무가 있다.,유아용 좌석에 유아를 태우는 등 법령상 허용된 경우,4,"2인 승차는 원칙적으로 금지되지만, 유아용 좌석에 유아를 태우는 경우 등 법령상 인정된 예외가 있다.",경찰청 자전거 포털 사이트 · 경찰청 자전거의 안전이용 유아용 좌석
기본 규칙,고급, 법령상 전동 어시스트 자전거는 시속 몇 km 이상에서 원동기에 의한 보조가 이루어지지 않는 구조여야 하는가?,시속 10km 이상.,시속 20km 이상.,외형이 자전거와 비슷한 이동수단은 모두 동일한 헬멧 규제를 받는다.,시속 30km 이상,3,제1조의3에 따라 시속 24km 이상에서는 원동기에 의한 보조력이 작동하지 않아야 한다.,도로교통법 시행규칙 · 도로교통법 시행규칙 제1조의3
기본 규칙,고급, 도로교통법상 ‘보통자동차’에 해당하는 조건으로 가장 적절한 것은 무엇인가?,바퀴가 3개 이상인 자전거라면 모두 일반자동차에 해당한다.,페달이 달려 있으면 크기와 관계없이 모두 일반 자동차이다.,위반에 해당하지 않는다.,"차체의 크기와 구조가 기준에 적합하고, 다른 차량을 견인하지 않는 자전거",4,일반자전거는 차체의 크기와 구조가 내각부령 기준에 적합하고 다른 차량을 견인하지 않는 자전거로 정의된다.,자전거 안전이용 5칙｜경찰청 · 도로교통법 제2조·제63조의3·시행규칙 제9조의2
음주운전,고급, 자전거 음주운전에 관한 ‘방조’ 행위로 문제가 될 수 있는 행위에 가장 가까운 것은 무엇인가?,헬멧 착용을 권장한다.,음주 후 운전할 것으로 보이는 사람에게 자전거를 빌려주거나 술을 제공하거나 운전을 부탁한다.,제한 없음,음주한 본인에게 운전을 하지 말라고 설득한다.,2,"안내 자료에서는 음주운전뿐 아니라 술 제공, 자전거 제공, 운전 의뢰 등의 방조 행위도 문제가 될 수 있다고 정리하고 있다.",경찰청 자전거 포털 사이트 · 도로교통법·홍보자료 음주운전 방조
범칙금 제도,고급, 자전거 범칙금 제도에서 위반을 인정하는 경우의 가납부 기한으로 올바른 것은 무엇인가?,단속 다음 날부터 원칙적으로 7일 이내.,단속 당일 중.,자전거를 포함한 경차량에도 주정차 위반 및 방치주차 위반 유형이 있다.,기한은 없다.,1,제도 설명에 따르면 위반을 인정하는 경우 단속 다음 날부터 원칙적으로 7일 이내에 가납부를 하는 절차로 되어 있다.,경찰청 자전거 포털 사이트 · 경찰청 자전거 포털 사이트 가납부
음주운전,초급, 자전거 음주운전에 대해 올바른 것은 무엇인가?,자전거는 차량이 아니므로 적용 대상이 아니다.,자전거도 음주운전이 금지된다.,표지판이 없어도 임의의 대수로 나란히 주행해도 된다.,야간에만 금지된다.,2,자전거도 음주운전이 금지되며 중대한 위반으로 취급된다.,도로교통법 제65조 · 자전거도 음주운전이 금지된다
특정소형원동기장치자전거,고급, 특정소형원동기장치자전거에 관한 설명으로 올바른 것은 무엇인가?,페달이 있으면 자동으로 특정소형원동기장치자전거가 된다.,일반 원동기장치자전거와 완전히 동일한 규칙이 적용되며 연령 제한도 없다.,보행자 횡단보도 위를 자전거에서 내리지 않고 그대로 건너야 한다.,"일정 요건을 충족하면 면허는 필요 없지만, 자전거가 아니라 특정소형원동기부자전거에 해당한다.",4,"특정소형원동기부자전거는 자전거가 아니라 원동기부자전거의 한 종류로, 일정 요건을 충족하면 면허는 필요 없지만 법적으로는 자전거와 다른 분류이다.",도로교통법 제71조 제5호의5 · 운전 중(정차 중 제외)의 휴대전화 손통화 및 화면 주시는 금지되어 있다
주행 중 스마트폰 사용,초급, 자전거의 ‘주행 중 다른 행위(ながら運転)’로 금지되는 행위에 가장 가까운 것은 무엇인가?,운전 중(정차 중 제외)에 손으로 휴대전화를 들고 통화하거나 화면을 주시하는 것.,스마트폰 전원을 끈 상태로 소지하는 것.,많은 지역에서 공안위원회 규칙 위반 등에 해당할 수 있으므로 원칙적으로 피해야 한다.,정차 중을 포함하여 스마트폰을 소지하는 것 자체,1,제도 안내에 따르면 자전거 운전 중(정차 중 제외)에 스마트폰 등을 손에 들고 통화하거나 화면을 주시하는 행위는 금지된다.,경찰청 자전거 포털 사이트 · 경찰청 형식인정제도 전동보조자전거
전동 보조 자전거,고급, 형식인증을 받은 전동보조자전거의 표시로 올바른 것은 무엇인가?,PSC 마크.,PSE 마크.,자전거에는 진로 변경에 관한 규정이 적용되지 않는다.,JIS 마크,3,경찰청 형식인증제도에서는 기준에 적합한 전동보조자전거에 TS 마크가 표시된다.,도로교통법 제42조
위험행위,고급, 터널 내부나 좁은 다리에서의 자전거 운전으로서 안전운전의무에 부합하는 것은 무엇인가?,뒤따르는 차량에 방해가 되지 않도록 속도를 높여 한 번에 통과한다.,전조등을 끄고 주행하여 자신의 자전거가 잘 보이지 않게 한다.,차로 구분과 관계없이 비어 있는 차선을 자유롭게 선택할 수 있다.,"안전운전의무는 자동차에만 적용되므로, 자전거는 자유로운 속도로 통행할 수 있다.",3,시야가 나쁘고 접촉 위험이 높은 장소에서는 서행과 충분한 안전 확인이 필수적이다.,경찰청 자전거 포털 사이트 · 경찰청 자전거 교통규칙 보도 통행의 예외
보도 통행,고급,자전거가 보도를 통행할 수 있는 경우로 가장 적절한 것은 무엇인가?,짐이 많은 날에는 항상 보도를 통행할 수 있다.,표지 등으로 허용된 경우 또는 13세 미만·70세 이상 등의 예외에 해당하는 경우.,보도 주행 전용이며 보험은 필요 없다.,차가 많다고 느끼면 자유롭게 보도로 이동할 수 있다.,2,"보도 통행이 허용되는 경우는 표지 등이 있는 경우, 13세 미만·70세 이상·신체장애인이 운전하는 경우, 또는 부득이한 사정이 있는 경우 등에 한정된다.",경시청 자전거 포털 사이트 · 대상 연령 · 청색 범칙금 대상은 원칙적으로 16세 이상
범칙금 제도,초급,자전거 교통범칙통고제도(청색 딱지)의 적용 연령으로 올바른 것은 무엇인가?,15세 이상.,18세 이상.,보도에서는 수신호를 해서는 안 된다.,전 연령,3,제도 설명에 따르면 자전거 청색 딱지의 대상은 원칙적으로 16세 이상이다.,도로교통법 시행규칙 · 도로교통법 시행규칙 제1조의3
기본 규칙,고급, 시속 10km 이상 24km 미만 구간에서 전동 어시스트 자전거의 보조력 비율에 대한 올바른 이해는 무엇인가?,속도가 높아질수록 인력에 대한 보조력 비율이 작아지도록 제한되어 있다.,속도와 관계없이 항상 일정한 비율로 인력을 보조할 수 있다.,호흡 1L당 알코올 0.15mg 또는 혈중 알코올 농도 0.3mg/ml,시속 20km를 초과하면 보조력 비율 제한이 없어진다.,1,제1조의3 제1호 및 제2호에서는 속도에 따라 보조력 비율이 줄어들도록 계산식으로 상한을 정하고 있다.,자전거 안전이용 5칙｜경찰청 · 도로교통법 제63조의4
기본 규칙,고급, 일반 자전거가 보도를 통행할 수 있는 조건으로서 도로교통법 제63조의4 취지에 가장 부합하는 것은 무엇인가?,"자전거는 원칙적으로 보도를 통행하며, 차도 통행은 예외이다.",도로표지 등으로 지정된 경우나 어린이·고령자 등 차도 통행이 위험한 경우에 한해 보도 통행이 허용된다.,짐받이에 세워 태워도 단거리라면 문제없다.,자전거 이용자가 위험하다고 느끼면 언제든지 보도 통행이 허용된다.,2,"일반자전거가 보도를 통행할 수 있는 경우는 도로표지로 지정된 경우, 아동·유아·고령자 등의 차도 통행이 위험한 경우, 또는 기타 부득이한 경우에 한정된다.",도로교통법 제2조 · 경차량 및 자전거의 정의에 관한 규정
기본 규칙,초급,도로교통법상 자전거는 어떤 구분에 포함되는가?,자동차.,보행자.,10m 거리에서 90dB의 경음기 소리가 들릴 것,지정 없음,3,도로교통법 제2조에 따라 자전거는 ‘경차량’으로 분류된다.,도로교통법 제55조·제57조 · 승차 방법과 승차 인원 제한에 관한 규정
