問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
1,作为轻型车辆的自行车，在道路左侧设置的路侧带上，只要不会明显妨碍行人通行，就可以通行。,初级,基本规则,〇,根据《道路交通法》，轻车类可以在道路左侧设置的路肩带（路侧带）通行，但不得妨碍行人通行。,《道路交通法》第17条、第17条之2：关于路侧带通行方法及与行人关系的规定。
2,普通自行车在设有自行车专用道的道路上，除非有不得已的情况，否则必须在自行车专用道上通行。,初级,基本规则,〇,根据《道路交通法》第63条之3，设有自行车道时，普通自行车原则上必须在自行车道通行。,《道路交通法》第63条之3：设有自行车道时，普通自行车的通行义务。
3,包括自行车在内的轻型车辆，原则上不得并排行驶。,初级,基本规则,〇,根据《道路交通法》第19条，轻车类原则上禁止并排行驶，普通自行车另有特别规定。,《道路交通法》第19条：关于轻车禁止并排行驶的基本规定。
4,自行车横穿道路时，如果附近设有自行车横道，应当通过自行车横道横穿。,初级,基本规则,〇,根据《道路交通法》第63条之6，在设有自行车横穿道附近横过道路时，必须通过自行车横穿道。,《道路交通法》第63条之6：设有自行车横穿道时的横穿规定。
5,即使是在设有停车线和“停车让行（止まれ）”标志的路口，只要周围没有车辆，自行车也不能不停车。,初级,危险行为,✕,根据《道路交通法》第43条，在指定地点，无论是否有其他车辆，都必须在停止线前完全停车。,《道路交通法》第43条：设有“停车让行”标志地点的停车义务。
6,包括自行车在内的车辆通过铁路道口时，必须在停止线前停车并确认安全。,初级,危险行为,〇,根据《道路交通法》第33条，通过铁路道口时，必须停车并确认安全。,《道路交通法》第33条：通过铁路道口时停车及确认安全的义务。
7,禁止驾驶因制动装置不符合标准而可能危及交通安全的自行车。,初级,危险行为,〇,根据《道路交通法》第63条之9，不得驾驶使用不符合标准制动装置、可能造成交通危险的自行车。,《道路交通法》第63条之9：关于自行车制动装置标准及禁止驾驶的规定。
8,夜间骑行时，不得驾驶未配备符合标准反光器材或尾灯的自行车。,初级,危险行为,〇,根据《道路交通法》第63条之9，夜间必须安装符合标准的反光装置或尾灯。,《道路交通法》第63条之9：夜间配备反光器材或尾灯的义务。
9,自行车夜间通行时，必须开启前照灯。,初级,危险行为,〇,根据《道路交通法》第52条，夜间驾驶时必须开启前照灯等灯光。,《道路交通法》第52条：夜间开启前照灯的义务。
10,自行车骑行人在步道上，不得为了让行人避让而一直鸣铃。,初级,危险行为,✕,根据《道路交通法》第54条，除法律规定或为避免危险不得已的情况外，不得鸣喇叭，不得为了驱赶行人而持续按铃。,《道路交通法》第54条：关于应鸣喇叭及不得鸣喇叭情形的规定。
11,无论周围情况如何，只要不超过限速，就可以任意方式骑自行车。,初级,危险行为,✕,根据《道路交通法》第70条，驾驶人必须根据道路和交通状况，以不会危害他人的速度和方式驾驶。,《道路交通法》第70条：关于安全驾驶义务的规定。
12,自行车在行驶过程中注视手机屏幕，可能构成违反安全驾驶义务。,初级,危险行为,〇,骑行时持续注视手机等设备屏幕属于未注意前方，是违反安全驾驶义务的危险行为。,《道路交通法》第70条、第71条：关于安全驾驶义务及使用手机等设备的规定。
13,打伞骑车或单手骑车等无法充分操作车把的行为，可能构成违反安全驾驶义务。,初级,危险行为,〇,无法正常操作车把或刹车的驾驶方式，可能因违反《道路交通法》第70条的安全驾驶义务而受到处罚。,《道路交通法》第70条、第71条：关于妨碍安全操控方向盘等驾驶行为的规定。
14,法律要求成年人骑自行车时，也应努力佩戴骑行头盔。,初级,危险行为,〇,根据《道路交通法》第63条之11，自行车驾驶人无论年龄大小，都应努力佩戴骑行头盔。,《道路交通法》第63条之11：自行车驾驶人佩戴头盔的努力义务。
15,对儿童或幼儿负有监护责任的人，应努力让其骑车时佩戴头盔。,初级,危险行为,〇,《道路交通法》第63条之11也要求儿童、幼儿的监护人努力让其佩戴头盔。,《道路交通法》第63条之11：儿童、幼儿佩戴头盔的努力义务。
16,即使是单向一车道的道路，自行车原则上也不得靠右侧逆向行驶。,初级,危险行为,✕,轻车类必须靠道路左侧通行，原则上不得靠右侧（逆向）行驶，以避免正面碰撞等危险。,《道路交通法》第17条、第18条：关于车辆通行规则及靠左通行原则的规定。
17,夜间穿着反光材料或颜色鲜艳的衣服，从法律上的努力义务和安全驾驶义务来看，是值得提倡的。,初级,危险行为,〇,夜间提高可见性非常重要，从预防事故角度，强烈建议使用反光材料等。,《道路交通法》第70条：关于夜间安全驾驶及提高可见性的安全驾驶义务。
18,在上学路线或学校附近，为保障儿童安全，自行车也应更加注意控制速度和选择通行位置。,初级,危险行为,〇,在儿童可能突然冲出的区域，应根据安全驾驶义务特别谨慎驾驶。,《道路交通法》第76条及相关通学路规定：关于学校周边道路等确保安全的注意义务（法律、通知及地方条例综合规定）。
19,在陡坡下坡时，即使未超过限速，也不代表无论速度多快都不会违反安全驾驶义务。,初级,危险行为,✕,即使未超过限速，根据坡度、路面状况等情况，也应选择安全速度。,《道路交通法》第70条：关于下坡等情况下保持安全车速的安全驾驶义务。
20,雨天或大风天气，即使未超过限速，也不意味着无需改变骑行方式。,初级,危险行为,✕,天气恶劣时，由于制动距离增加、能见度下降，应比平时降低速度并谨慎驾驶。,《道路交通法》第70条：关于雨天、强风等情况下根据安全驾驶义务调整车速。
21,作为轻型车辆的自行车，在道路左侧设置的路侧带上，只要不会明显妨碍行人通行，就可以通行。,初级,基本规则,〇,根据《道路交通法》第17条之2，轻车类可以在道路左侧设置的路肩带通行，但不得妨碍行人通行。,《道路交通法》第17条之2：关于轻车在路侧带通行及对行人的注意义务。
22,根据《道路交通法施行规则》，普通自行车必须为四轮及以下。,初级,基本规则,〇,《道路交通法施行规则》第9条之2之2规定，普通自行车必须为四轮以下。,《道路交通法实施规则》第9条之2之2：普通自行车车轮数量的标准。
23,普通自行车的标准包括“不得安装侧车（边车）”。,初级,基本规则,〇,《道路交通法施行规则》第9条之2之2第2项规定，普通自行车不得安装侧车（边车）。,《道路交通法实施规则》第9条之2之2：普通自行车是否可以安装侧车的规定。
24,普通自行车除骑行者座位外，可以设置幼儿专用座椅。,初级,基本规则,〇,《道路交通法施行规则》规定，除幼儿座椅外，不得设置驾驶座以外的其他乘坐装置，因此幼儿座椅是唯一例外。,《道路交通法实施规则》第9条之2之2：普通自行车座椅设置的限制。
25,普通自行车的制动装置必须设置在骑行中容易操作的位置。,初级,危险行为,〇,《道路交通法施行规则》第9条之2之2第2项规定，制动装置必须设置在骑行过程中容易操作的位置。,《道路交通法实施规则》第9条之2之2：关于制动装置（刹车）操作位置的标准。
26,普通自行车可以有可能伤害行人的尖锐突出部分。,初级,危险行为,✕,同条规定，自行车不得有可能伤害行人的尖锐突出部。,《道路交通法实施规则》第9条之2之2：禁止设置可能伤害行人的尖锐突出部。
27,自行车的制动装置只要能够制动前轮或后轮其中之一即可。,初级,危险行为,✕,《道路交通法施行规则》第9条之3第1项规定，制动装置必须能够同时制动前轮和后轮。,《道路交通法实施规则》第9条之3：自行车制动装置标准（前后轮均须制动）。
28,自行车的制动装置应具备在干燥、平坦的铺装路面上，以时速10公里行驶时，可在3米内平稳停车的性能。,初级,危险行为,〇,《道路交通法施行规则》第9条之3第2项具体规定了相关条件。,《道路交通法实施规则》第9条之3：自行车制动性能标准（时速10公里时须在3米内停止）。
29,自行车配备的反光器材，夜间应能在后方100米处被汽车前照灯照射时，容易辨认其反光。,初级,危险行为,〇,《道路交通法施行规则》第9条之4第1项规定，反光装置应能在夜间从后方100米处用前照灯照射时，清楚确认反光。,《道路交通法实施规则》第9条之4：自行车反光器材可视性的标准（夜间100米）。
30,自行车反光器材的反光颜色可以是黄色或绿色。,初级,危险行为,✕,《道路交通法施行规则》规定，反光颜色仅限于橙色或红色，黄色和绿色不符合标准。,《道路交通法实施规则》第9条之4：自行车反光器材反射光颜色的标准。
31,使用动力辅助人力的自行车（即电动助力自行车）的动力装置必须是电动机。,初级,基本规则,〇,《道路交通法施行规则》第1条之3第1项（イ）规定，动力装置必须是电动机。,《道路交通法实施规则》第1条之3：助力自行车所使用原动机的种类（必须为电动机）。
32,电动助力自行车达到时速24公里以上时，动力装置不得继续提供辅助动力。,初级,基本规则,〇,《道路交通法施行规则》第1条之3第1项（ハ）规定，时速达到24公里以上时，不得再提供电动辅助动力。,《道路交通法实施规则》第1条之3：时速24公里以上时不得再提供电动辅助。
