Categoría,Nivel de dificultad,Enunciado del problema,Opción 1,Opción 2,Opción 3,Opción 4,Número de respuesta correcto,Resumen,Normas de tráfico relacionadas
acto peligroso,上級,¿Cuál de las siguientes explicaciones es la más adecuada respecto al tráfico ciclista en las rutas y zonas escolares?,No se aplican restricciones a las bicicletas en absoluto.,"Debido a las normativas locales de tráfico, el tráfico de bicicletas está prohibido en determinadas horas, Pueden aplicarse regulaciones especiales como obligaciones de conducción lenta.",Las bicicletas están prohibidas en todo el país,"Las bicicletas, al igual que los coches, siempre deben circular por el lado derecho",2,"Las normativas de las rutas escolares se aplican mediante las normas de tráfico establecidas por cada Comisión de Seguridad Pública prefectural,",Reglamentos de Aplicación de la Ley de Tráfico Vial
Política de Aplicación,上級,¿Cuál de las siguientes explicaciones es la más adecuada respecto al tráfico ciclista en las rutas y zonas escolares?,Todas las infracciones resultan en multas azules inmediatas.,El sistema Blue Ticket abolió el sistema de advertencia de orientación,Caminar por las aceras siempre resulta en una multa roja.,"Las infracciones están básicamente sujetas a advertencias de orientación, pero las infracciones maliciosas o peligrosas pueden ser procesadas. Convertirse en",4,Hay casos en los que también se ven afectadas las bicicletas.,Ley de Tráfico / Normas de Regulación del Tráfico Artículo 4
Mientras uso mi smartphone,上級,"En cuanto al resumen actual del seguimiento y funcionamiento de un smartphone fijado al titular,
¿Cuál es el más apropiado?","Mientras esté arreglado, siempre es legal",No existen regulaciones legales sobre los smartphones fijos.,"Aunque existen algunos acuerdos que no se engloban en 'tenencia',
Si se crea un peligro, pueden surgir infracciones a las obligaciones de conducción segura y otros problemas.","Incluso si se fija, siempre constituye una violación del artículo 71, párrafo 5, punto 5, ""Retención""",3,"Según las preguntas frecuentes de la Agencia Nacional de Policía, incluso después de la introducción de la multa azul, las infracciones en bicicleta son básicamente",Portal de Bicicletas de la Agencia Nacional de Policía
Conducción segura,上級,"La forma más adecuada de proceder con una bicicleta en cruces con mala visibilidad o zonas peligrosas es:
¿Cuál es?",No hace falta comprobar si no hay peatones,Mantén la velocidad y pasa de golpe,No hay obligación de control de seguridad sin señalización,Avanza al ritmo y método más seguros posibles según la situación,4,"Aunque estas se consideran advertencias de orientación, las infracciones maliciosas y peligrosas se explican como sujetas a arresto","Guías, advertencias y arrestos del portal de bicicletas"
Reglas básicas,上級,"Como método para girar a la derecha en una bicicleta que es un vehículo ligero, los siguientes son los siguientes métodos que cumplen con el Artículo 4, Párrafo 3 de la Ley de Tráfico.
¿Cuál es?",Acércate al borde derecho de la carretera con antelación antes de girar a la derecha.,Muévete al centro de la carretera con antelación y luego gira a la derecha.,No existe un método fijo para girar a la derecha,"Antes, realiza un giro a la derecha en dos fases por el borde izquierdo de la carretera y continúa por el borde de la intersección",4,"Según la opinión de la policía basada en informes, los smartphones fijos no se consideran 'holding'",Portal de Bicicletas de la Agencia Nacional de Policía
correr lado a lado,上級,¿Cuál de las siguientes es una excepción adecuada para permitir el viaje en paralelo en bicicleta?,Cuando quieres tener una conversación,Solo para bicicletas infantiles,Si se instala un signo traslacional,Siempre posible en las aceras,3,"Aunque existen interpretaciones injustas, si la conducción se vuelve peligrosa, otras evaluaciones, como las violaciones de las obligaciones de conducción segura, pueden ser problemáticas.",Ley de Tráfico Vial y Opiniones de la Policía basadas en las noticias
Restricciones de la atracción,上級,¿Cuál es la excepción más adecuada para ciclistas de dos personas?,Cualquiera puede montar a dos personas en distancias cortas,Pon a un amigo atrás,"Mientras la carretera esté despejada, siempre es posible.","Cuando la ley lo permite, como colocar a los bebés en una silla infantil",4,"Los asientos de dos asientos están generalmente prohibidos, pero existen excepciones legalmente permitidas, como colocar a los bebés en asientos para bebés",Artículo 71-5 y Artículo 70
Reglas básicas,上級,¿Qué rango de velocidad deben regular legalmente las bicicletas con asistencia eléctrica para que se estructuren sin ayuda del motor a un rango de km/h?,10 km/h o más,20 km/h o más,24 km/h o más,30 km/h o más,3,"Según el artículo 1-3, se exige que las fuerzas auxiliares del motor no se apliquen a velocidades superiores a 24 km/h",Portal de Bicicletas de la Agencia Nacional de Policía
Reglas básicas,上級,"¿Cuál de las siguientes condiciones es la más adecuada para calificar como ""vehículo ordinario"" según la Ley de Tráfico Vial?",10 km/h o más,"Mientras tenga pedales, todos son coches estándar independientemente del tamaño.",Bicicletas motorizadas que circulan únicamente por un vehículo motorizado,Bicicletas cuyo tamaño y estructura corporal cumplen con los estándares y no remolcan otros vehículos,4,Una bicicleta normal se define como aquella cuyo tamaño y estructura corporal cumplen con los estándares establecidos por las ordenanzas de la Oficina del Gabinete y que no remolcan otros vehículos,Portal de bicicletas Normas de tráfico Velocidades seguras y métodos
Conducir bajo los efectos del alcohol,上級,¿Cuál de las siguientes leyes se acerca más a una ley que podría convertirse en un problema como 'asistencia' relacionada con la conducción bajo los efectos del alcohol en bicicleta?,Promover el uso del casco,Prestar bicicletas o proporcionar alcohol a personas que probablemente conducirán después de beber ・Solicita un conductor,Guía transporte público,Persuadir al borracho para que deje de conducir,2,"Según materiales conocidos, no solo conducir ebrio, sino también la asistencia como proporcionar alcohol, bicicletas o solicitar un conductor puede ser problemática",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
