問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
1,"Xe đạp là phương tiện hạng nhẹ, được phép đi trên phần lề đường bên trái nếu không gây cản trở đáng kể cho người đi bộ.",Cơ bản,Quy tắc cơ bản,〇,Luật Giao thông đường bộ quy định xe đạp (phương tiện hạng nhẹ) được phép đi trên phần lề đường bên trái nếu không cản trở việc đi lại của người đi bộ.,"Điều 17, Điều 17-2: Quy định về cách đi trên dải lề đường (路側帯) và mối quan hệ với người đi bộ."
2,"Xe đạp thông thường phải đi trên làn đường dành cho xe đạp nếu đường có làn này, trừ trường hợp bất khả kháng hoặc ngoại lệ theo quy định.",Cơ bản,Quy tắc cơ bản,〇,"Theo Điều 63-3, khi có làn đường dành cho xe đạp, xe đạp thông thường về nguyên tắc phải đi trên làn đường đó.",Điều 63-3: Nghĩa vụ của xe đạp thông thường phải đi trên làn đường dành cho xe đạp khi có làn này.
3,Xe đạp và các phương tiện hạng nhẹ khác về nguyên tắc không được đi song song với phương tiện hạng nhẹ khác.,Cơ bản,Quy tắc cơ bản,〇,"Theo Điều 19, xe hạng nhẹ không được phép đi song song; tuy nhiên xe đạp thông thường có một số ngoại lệ được quy định riêng.",Điều 19: Quy định cơ bản về việc cấm xe nhẹ (bao gồm xe đạp) đi song song.
4,"Khi băng qua đường, nếu gần đó có vạch sang đường dành cho xe đạp thì phải đi qua tại vạch đó.",Cơ bản,Quy tắc cơ bản,〇,"Theo Điều 63-6, khi băng qua đường tại nơi gần có vạch băng qua dành cho xe đạp thì phải đi qua bằng vạch đó.",Điều 63-6: Cách băng qua đường tại nơi có vạch băng qua dành cho xe đạp.
5,"Dù tại ngã tư có biển “Dừng” và vạch dừng, xe đạp cũng không được bỏ qua việc dừng chỉ vì xung quanh không có xe.",Cơ bản,Hành vi nguy hiểm,✕,"Theo Điều 43, tại nơi có biển “Dừng lại”, phải dừng hẳn trước vạch dừng, bất kể có xe khác hay không.","Điều 43: Nghĩa vụ dừng hẳn tại nơi có biển báo ""Dừng lại"" (止まれ)."
6,"Khi đi qua đường sắt, xe đạp và các phương tiện khác phải dừng trước vạch dừng và xác nhận an toàn.",Cơ bản,Hành vi nguy hiểm,〇,"Theo Điều 33, khi đi qua đường sắt phải dừng hẳn và xác nhận an toàn.",Điều 33: Nghĩa vụ dừng và kiểm tra an toàn khi đi qua đường sắt.
7,Cấm điều khiển xe đạp có hệ thống phanh không đạt tiêu chuẩn và có nguy cơ gây nguy hiểm cho giao thông.,Cơ bản,Hành vi nguy hiểm,〇,"Theo Điều 63-9, không được điều khiển xe đạp có phanh không đạt tiêu chuẩn và có nguy cơ gây nguy hiểm giao thông.",Điều 63-9: Tiêu chuẩn về hệ thống phanh của xe đạp và quy định cấm vận hành xe không đạt tiêu chuẩn.
8,"Ban đêm, người điều khiển xe đạp không được đi xe nếu xe không có thiết bị phản quang hoặc đèn hậu đạt tiêu chuẩn.",Cơ bản,Hành vi nguy hiểm,〇,"Theo Điều 63-9, khi đi vào ban đêm, xe đạp phải được trang bị đèn hậu hoặc tấm phản quang đạt tiêu chuẩn.",Điều 63-9: Nghĩa vụ trang bị gương phản quang hoặc đèn hậu khi đi ban đêm.
9,"Khi đi vào ban đêm, xe đạp phải bật đèn chiếu sáng phía trước.",Cơ bản,Hành vi nguy hiểm,〇,"Theo Điều 52, khi đi vào ban đêm phải bật đèn chiếu sáng phía trước.",Điều 52: Nghĩa vụ bật đèn pha khi đi ban đêm.
10,Người đi xe đạp không được liên tục bấm chuông để ép người đi bộ tránh đường khi đi trên vỉa hè.,Cơ bản,Hành vi nguy hiểm,✕,"Theo Điều 54, chỉ được sử dụng chuông trong các trường hợp luật quy định hoặc khi cần thiết để phòng tránh nguy hiểm; không được liên tục bấm chuông để ép người đi bộ tránh đường.",Điều 54: Quy định về các trường hợp phải bấm chuông và không được bấm chuông.
11,Chỉ tuân thủ giới hạn tốc độ không có nghĩa là có thể lái xe theo bất kỳ cách nào.,Cơ bản,Hành vi nguy hiểm,✕,"Điều 70 quy định nghĩa vụ lái xe an toàn, yêu cầu điều khiển xe với tốc độ và phương pháp phù hợp với tình trạng đường và giao thông để không gây nguy hiểm cho người khác.",Điều 70: Quy định về nghĩa vụ lái xe an toàn.
12,Việc nhìn chằm chằm vào màn hình điện thoại khi xe đang chạy có thể bị coi là vi phạm nghĩa vụ lái xe an toàn.,Cơ bản,Hành vi nguy hiểm,〇,Việc nhìn chăm chú vào màn hình điện thoại khi đang chạy xe bị coi là không quan sát phía trước và là hành vi nguy hiểm vi phạm nghĩa vụ lái xe an toàn.,"Điều 70, Điều 71: Quy định về nghĩa vụ lái xe an toàn và việc sử dụng điện thoại di động khi lái xe."
